passenger_id,name,flight_id,origin,destination,passenger_type,cabin,fare_class,special_assistance,priority_level,status
P00033,Tricia Valencia,FL2479,SYD,AKL,DIRECT,Business,J,False,NORMAL,ACTIVE
P00034,Nathan Maldonado,FL2482,LHR,CDG,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00035,Debra Davidson,FL2461,SIN,NRT,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00036,Jeffrey Chavez,FL1734,DOH,DEL,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00037,Sherri Baker,FL1269,DEL,BOM,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00038,Cassandra Gaines,FL0935,CDG,DXB,DIRECT,Business,J,False,NORMAL,ACTIVE
P00039,Elizabeth Fowler,FL0011,NRT,SIN,DIRECT,Economy,B,False,HIGH,ACTIVE
P00040,Brittany Farmer,FL2651,LAX,SFO,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00041,Paula Moreno,FL0777,SYD,AKL,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00042,Fred Smith,FL0463,LHR,AMS,DIRECT,Business,C,False,NORMAL,ACTIVE
P00043,Sherry Decker,FL0676,DEL,SIN,DIRECT,Business,J,False,NORMAL,ACTIVE
P00044,Anthony Humphrey,FL0708,LAX,ORD,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00045,Angelica Tucker,FL1651,DXB,BOM,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00046,Philip Cannon,FL1957,DOH,LHR,CONNECTING,Economy,M,False,HIGH,ACTIVE
P00047,John Pierce,FL0315,ICN,NRT,DIRECT,Economy,B,False,HIGH,ACTIVE
P00048,Shane Henderson,FL2113,LAX,SFO,CONNECTING,Business,C,False,HIGH,ACTIVE
P00049,Joshua Blair,FL1882,JFK,BOS,CONNECTING,Economy,M,False,HIGH,ACTIVE
P00050,Eric Carney,FL1792,SIN,CGK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00051,Jessica Holmes,FL1129,NRT,ICN,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00052,Danny Morgan,FL0504,DOH,DEL,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00053,Crystal Robinson,FL1132,DXB,JFK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00054,Mark Perez,FL2647,BOM,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00055,Shannon Jones,FL1559,DOH,JFK,CONNECTING,Economy,M,False,HIGH,ACTIVE
P00056,Michael Lewis,FL2451,NRT,ICN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00057,Timothy Duncan,FL2798,LHR,BOM,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00058,Richard Aguirre,FL1112,DEL,DXB,DIRECT,Economy,M,False,HIGH,ACTIVE
P00059,Brent Jordan,FL2576,ORD,DFW,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00060,John Daniel,FL2476,SYD,AKL,CONNECTING,Business,C,False,NORMAL,ACTIVE
P00061,Victoria Garcia,FL0470,AMS,LHR,DIRECT,Business,J,True,NORMAL,ACTIVE
P00062,Gerald Hensley,FL1552,AMS,FRA,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00063,Connor West,FL1799,LHR,FRA,DIRECT,Economy,M,False,HIGH,ACTIVE
P00064,Donald Wright,FL0374,SIN,KUL,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00065,Jessica Callahan,FL2785,ICN,SIN,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00066,Amber Kidd,FL2963,SIN,BKK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00067,Tracy House,FL1569,DEL,BOM,CONNECTING,Economy,M,False,HIGH,ACTIVE
P00068,Carol Tucker,FL1514,DOH,LHR,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00069,James Brown,FL2705,LHR,JFK,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00070,William Baker,FL2571,HKG,NRT,DIRECT,Business,J,False,NORMAL,ACTIVE
P00071,Jordan Henderson,FL0887,DOH,DEL,DIRECT,Business,J,False,NORMAL,ACTIVE
P00072,Whitney Peters,FL2128,NRT,ICN,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00073,Brittney Phillips,FL1838,DXB,CDG,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00074,Lauren Daniels,FL1510,NRT,HND,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00075,Amy Silva,FL2942,ORD,DFW,DIRECT,First,F,False,NORMAL,ACTIVE
P00076,Sarah Moore,FL0222,SIN,BKK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00077,Angela Lopez,FL0080,DEL,BOM,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00078,Megan Young,FL1638,NRT,BKK,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00079,Steve Sanchez,FL1208,CDG,JFK,DIRECT,Economy,B,False,HIGH,ACTIVE
P00080,Lisa Barnes,FL2633,DOH,BOM,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00081,Kelly Donovan,FL1344,DXB,NRT,DIRECT,Business,J,False,NORMAL,ACTIVE
P00082,Mike Allen,FL1125,DXB,LHR,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00083,Michael Evans,FL1800,DEL,BOM,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00084,Paul Jones,FL1539,DXB,DOH,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00085,Zachary Ferrell,FL2798,LHR,BOM,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00086,Daniel Baker,FL1200,AMS,FRA,DIRECT,First,F,False,NORMAL,ACTIVE
P00087,Shirley Suarez,FL1184,DXB,BOM,DIRECT,Economy,M,False,HIGH,ACTIVE
P00088,Christopher Bass,FL1488,LAX,SFO,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00089,Lisa Archer,FL1141,DXB,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00090,Aimee Montoya,FL1903,NRT,BKK,DIRECT,Economy,B,True,HIGH,ACTIVE
P00091,Matthew Mcmillan,FL0597,ORD,LAX,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00092,Brian Rodriguez,FL2711,DEL,BOM,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00093,Denise Jacobs,FL2909,ORD,JFK,DIRECT,Business,C,False,NORMAL,ACTIVE
P00094,Christina Walters,FL0055,DXB,NRT,DIRECT,Business,C,False,NORMAL,ACTIVE
P00095,John Whitehead,FL0788,DXB,FRA,CONNECTING,Economy,Y,False,HIGH,ACTIVE
P00096,Anna Henderson,FL2469,LHR,JFK,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00097,Aaron Wise,FL2852,LAX,SFO,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00098,Deborah Figueroa,FL1876,JFK,SFO,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00099,Jessica Smith,FL1317,HKG,SIN,DIRECT,Economy,M,False,HIGH,ACTIVE
P00100,Stephen Mckee,FL2081,DXB,FRA,CONNECTING,Economy,B,False,HIGH,ACTIVE
P00101,Sandra Aguilar,FL1407,HKG,SIN,DIRECT,Business,C,False,NORMAL,ACTIVE
P00102,Cameron Parker,FL2567,DXB,CDG,DIRECT,Economy,Y,True,NORMAL,ACTIVE
P00103,Rebecca Valencia,FL0823,NRT,HND,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00104,Christine Wright,FL0032,NRT,ICN,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00105,Richard Henson,FL1359,FRA,JFK,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00106,Marc Moore,FL1295,ICN,LAX,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00107,Sharon Cherry,FL0972,CDG,DXB,DIRECT,Economy,Y,True,NORMAL,ACTIVE
P00108,Sierra Johnson,FL0417,DXB,DOH,DIRECT,Business,C,False,HIGH,ACTIVE
P00109,Evelyn Galvan,FL2559,MEL,PER,CONNECTING,Business,C,False,NORMAL,ACTIVE
P00110,Sharon Cochran,FL0835,FRA,NRT,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00111,Richard Rodriguez,FL2871,ORD,LAX,DIRECT,Economy,M,False,HIGH,ACTIVE
P00112,Shannon Walker,FL1222,LHR,JFK,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00113,Julia Torres,FL1842,DXB,DOH,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00114,Crystal Johnson,FL2361,SYD,AKL,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00115,Garrett Lin,FL2346,BOM,SIN,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00116,Diana May,FL2457,CDG,DXB,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00117,William Herrera,FL0243,AMS,CDG,DIRECT,Business,J,False,NORMAL,ACTIVE
P00118,Ashley Waller,FL2238,LAX,JFK,DIRECT,Economy,B,False,HIGH,ACTIVE
P00119,Victor Baker,FL1848,ICN,LAX,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00120,Jeffrey Chandler,FL1395,SIN,CGK,DIRECT,Business,C,False,NORMAL,ACTIVE
P00121,Larry Dixon,FL1881,DXB,JFK,CONNECTING,Business,J,False,NORMAL,ACTIVE
P00122,Kenneth Scott,FL1334,ICN,NRT,CONNECTING,Business,J,False,NORMAL,ACTIVE
P00123,April Frost,FL2428,DXB,DEL,DIRECT,Economy,Y,True,HIGH,ACTIVE
P00124,Michelle Harmon,FL0769,ORD,LAX,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00125,Helen Jones,FL1526,AMS,LHR,DIRECT,Business,C,True,NORMAL,ACTIVE
P00126,Erin Edwards,FL0737,DXB,FRA,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00127,Michelle Evans,FL1153,DXB,NRT,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00128,Jason Powell,FL2751,ICN,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00129,Cameron Fisher,FL2207,DXB,FRA,DIRECT,Economy,B,False,HIGH,ACTIVE
P00130,Megan Orr,FL0976,DXB,CDG,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00131,Elizabeth Kelley,FL2156,DOH,BOM,DIRECT,Economy,M,False,HIGH,ACTIVE
P00132,Dustin Jordan,FL1294,DXB,ICN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00133,Mary Marshall,FL0830,AMS,FRA,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00134,Daniel Kennedy,FL1491,ORD,LAX,CONNECTING,Business,J,False,NORMAL,ACTIVE
P00135,Rebecca Jackson,FL0527,DXB,CDG,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00136,Jose Schultz,FL2760,LHR,AMS,CONNECTING,Economy,B,False,HIGH,ACTIVE
P00137,Robert Potter,FL0115,ORD,JFK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00138,Courtney Gonzalez,FL1250,DEL,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00139,David Alvarez,FL1524,DOH,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00140,Angel Perry,FL1371,DOH,JFK,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00141,Cheyenne Horton,FL1449,DXB,BOM,DIRECT,Business,C,True,HIGH,ACTIVE
P00142,David Douglas Jr.,FL1468,ICN,SIN,CONNECTING,Economy,B,False,HIGH,ACTIVE
P00143,Patricia Rodriguez,FL2216,SIN,NRT,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00144,Christopher Rubio,FL0087,FRA,SIN,CONNECTING,Economy,B,False,HIGH,ACTIVE
P00145,Amber Wright,FL1365,DXB,DEL,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00146,Joyce Solis,FL2081,DXB,FRA,CONNECTING,Economy,Y,True,NORMAL,ACTIVE
P00147,Victoria Larson,FL2379,DXB,SIN,DIRECT,Economy,M,False,HIGH,ACTIVE
P00148,Stephanie Salazar,FL1730,JFK,SFO,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00149,Kathy Rivas,FL0900,DXB,NRT,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00150,Stephanie Manning,FL0501,LAX,JFK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00151,David Wright,FL1489,DEL,BOM,DIRECT,Business,C,False,HIGH,ACTIVE
P00152,Pamela Boyd,FL2842,AMS,LHR,DIRECT,Business,J,False,NORMAL,ACTIVE
P00153,Denise Jones,FL2536,HKG,SIN,DIRECT,Business,J,False,HIGH,ACTIVE
P00154,Devon Flores,FL2704,SIN,BKK,CONNECTING,First,F,False,HIGH,ACTIVE
P00155,Brenda Hall,FL0657,ICN,LAX,DIRECT,Economy,Y,True,NORMAL,ACTIVE
P00156,Michelle Brown,FL0350,HKG,SYD,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00157,Joshua Perry,FL0476,SIN,MEL,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00158,Jason Stein,FL1927,LHR,BOM,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00159,Melissa Gates,FL2754,NRT,BKK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00160,Jamie Smith,FL0073,DXB,FRA,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00161,Paul Castaneda,FL0306,BOM,DXB,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00162,Jennifer Adkins,FL0512,ORD,DFW,DIRECT,Business,J,False,NORMAL,ACTIVE
P00163,Lindsey Walker,FL2072,NRT,HND,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00164,Jeffrey Johnson,FL0175,ORD,LAX,DIRECT,Economy,M,False,HIGH,ACTIVE
P00165,Michael Powell,FL1270,BOM,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00166,John Anderson,FL2398,SIN,MEL,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00167,Alyssa Long,FL1681,LHR,CDG,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00168,Alyssa Day,FL2955,DXB,DOH,DIRECT,Business,J,False,NORMAL,ACTIVE
P00169,Joel Williams,FL0300,BOM,DEL,DIRECT,Business,J,False,NORMAL,ACTIVE
P00170,Daniel Murphy,FL1197,SIN,MEL,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00171,Jamie Walton,FL0841,SYD,MEL,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00172,Darlene Miller,FL0861,CDG,DXB,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00173,Joshua Cooke,FL2150,NRT,BKK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00174,Matthew Harrington,FL2489,SIN,CGK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00175,Nicole Herring,FL2719,HKG,SYD,CONNECTING,Economy,B,True,NORMAL,ACTIVE
P00176,Alex Hernandez,FL2324,LHR,AMS,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00177,Michael Elliott,FL0486,LHR,AMS,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00178,Michael Wang,FL1105,BOM,DXB,CONNECTING,Economy,Y,False,HIGH,ACTIVE
P00179,Lawrence Adkins,FL1424,NRT,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00180,Robert Oconnell,FL0776,FRA,NRT,CONNECTING,Economy,B,False,HIGH,ACTIVE
P00181,Alexander Collins,FL0360,DOH,BOM,DIRECT,Business,J,False,NORMAL,ACTIVE
P00182,Tina Sanders,FL1726,SIN,KUL,DIRECT,Economy,B,False,HIGH,ACTIVE
P00183,Angela Vaughn,FL1634,DXB,DOH,CONNECTING,Economy,M,True,HIGH,ACTIVE
P00184,Ashley Barton,FL0256,SIN,KUL,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00185,Lindsay Martinez,FL1749,CDG,JFK,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00186,Dr. Hannah Patterson,FL1788,SIN,KUL,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00187,Jonathan Peterson,FL1740,SYD,MEL,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00188,Samantha Garcia,FL0345,AMS,CDG,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00189,Madison Poole,FL2601,LHR,BOM,DIRECT,Economy,Y,True,NORMAL,ACTIVE
P00190,Jessica Gross,FL1254,JFK,SFO,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00191,Debra Morton,FL2708,ORD,DFW,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00192,Karen Graham,FL2970,HKG,SYD,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00193,Debra Christian,FL1600,DXB,CDG,DIRECT,Business,J,False,NORMAL,ACTIVE
P00194,Angelica Keith,FL0410,DOH,BOM,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00195,John Bishop,FL2189,AMS,CDG,DIRECT,First,F,True,NORMAL,ACTIVE
P00196,Allen Rosales,FL0912,HKG,SYD,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00197,Daniel Salinas,FL2241,LHR,JFK,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00198,Spencer Haynes,FL0935,CDG,DXB,DIRECT,Business,J,False,NORMAL,ACTIVE
P00199,Adam Vaughan,FL1576,FRA,NRT,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00200,Nathan Freeman,FL1065,LAX,ORD,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00201,Melissa Brewer,FL1242,DOH,SIN,DIRECT,Economy,B,True,NORMAL,ACTIVE
P00202,Ricky Davis II,FL2120,CDG,NRT,DIRECT,Business,J,False,NORMAL,ACTIVE
P00203,Elizabeth Perkins,FL1521,MEL,PER,DIRECT,Economy,B,False,HIGH,ACTIVE
P00204,Joseph Coleman,FL1678,DOH,JFK,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00205,Erin Warner,FL2011,DXB,JFK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00206,David Martinez,FL0435,SIN,SYD,DIRECT,Business,J,False,NORMAL,ACTIVE
P00207,Bryan Herrera,FL1215,NRT,BKK,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00208,Cathy Robinson,FL2121,DXB,JFK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00209,Dr. William Warren,FL2165,LHR,CDG,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00210,Brian Lee,FL1500,DOH,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00211,Christopher Smith,FL1260,DOH,JFK,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00212,Denise Mccann,FL1158,SIN,BKK,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00213,Melissa Martinez,FL1159,DXB,ICN,DIRECT,Business,J,False,NORMAL,ACTIVE
P00214,Katherine Salas,FL2944,AMS,LHR,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00215,Julie Alexander,FL1811,SIN,SYD,DIRECT,Economy,Y,True,NORMAL,ACTIVE
P00216,Anthony Everett,FL1905,DXB,BOM,DIRECT,Economy,M,False,HIGH,ACTIVE
P00217,Rodney Morales,FL1304,SIN,CGK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00218,Mark Brown,FL0155,NRT,ICN,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00219,Justin Torres,FL2644,HKG,SIN,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00220,Bailey Duran DDS,FL1894,ORD,DFW,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00221,Courtney Mills,FL1194,LHR,FRA,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00222,Jeremy Dalton,FL1830,SYD,AKL,CONNECTING,Economy,B,False,HIGH,ACTIVE
P00223,Elizabeth Oliver DDS,FL1921,DOH,BOM,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00224,Theresa Clark,FL1450,SYD,MEL,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00225,Matthew Moore,FL2487,ORD,DFW,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00226,Benjamin Smith,FL0508,FRA,NRT,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00227,Kirk Carter,FL0598,LAX,JFK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00228,Michael Warner,FL1801,LHR,NRT,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00229,Michael Bradshaw,FL1866,DOH,BOM,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00230,Lori Guerrero,FL2696,ICN,SIN,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00231,Jessica Stephens,FL1692,SIN,KUL,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00232,Susan Serrano,FL0593,DXB,BOM,DIRECT,Business,J,False,NORMAL,ACTIVE
P00233,Christopher Parker,FL1944,DOH,JFK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00234,Laura Roberts,FL0309,AMS,FRA,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00235,Michael Lyons,FL0293,SYD,AKL,DIRECT,Economy,M,True,NORMAL,ACTIVE
P00236,Kathryn Snyder,FL0282,JFK,SFO,CONNECTING,Economy,B,True,NORMAL,ACTIVE
P00237,Andrew Reynolds,FL2664,NRT,LAX,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00238,David Davis,FL0126,ORD,JFK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00239,Sara Johnston,FL0305,HKG,SIN,DIRECT,Economy,B,True,NORMAL,ACTIVE
P00240,Yvonne Chambers,FL2650,LHR,AMS,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00241,Andrew Avila,FL2363,LHR,AMS,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00242,Matthew Moon,FL0334,NRT,SIN,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00243,Kevin Walters,FL2489,SIN,CGK,DIRECT,Business,C,False,NORMAL,ACTIVE
P00244,Brandon Bailey MD,FL1046,SIN,NRT,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00245,Shannon Rivera,FL2760,LHR,AMS,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00246,Donna Landry,FL1097,NRT,LAX,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00247,Krista Gibson,FL1530,DEL,DXB,DIRECT,Economy,B,False,HIGH,ACTIVE
P00248,Frank Cordova,FL0004,NRT,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00249,Jose Travis,FL1692,SIN,KUL,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00250,Kimberly Gutierrez,FL1732,JFK,BOS,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00251,Isaiah Avila,FL0872,ORD,LAX,DIRECT,Economy,B,False,HIGH,ACTIVE
P00252,Olivia Harris,FL0955,LHR,JFK,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00253,Tanya Kim,FL2014,BOM,SIN,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00254,Barbara Dudley,FL0337,LHR,CDG,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00255,Cynthia Moore,FL1906,ORD,JFK,DIRECT,Economy,B,False,HIGH,ACTIVE
P00256,Kristen Davis,FL2548,SYD,AKL,DIRECT,Business,J,False,NORMAL,ACTIVE
P00257,Susan Murray MD,FL0485,DXB,DOH,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00258,Kathleen Moran,FL2287,NRT,ICN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00259,Denise Davenport,FL0508,FRA,NRT,DIRECT,Economy,B,False,HIGH,ACTIVE
P00260,Mrs. Kristen Reyes,FL1174,SIN,MEL,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00261,Katie Suarez,FL1655,ICN,NRT,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00262,Desiree Tyler,FL1552,AMS,FRA,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00263,Timothy Romero,FL0272,LHR,NRT,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00264,Diane Evans,FL2552,SIN,CGK,CONNECTING,Economy,M,False,NORMAL,ACTIVE
