crew_id,name,role,aircraft_type,base_airport,current_airport,duty_hours,rest_hours,status
C00040,Michael Keller,CABIN_CREW,B787,NRT,ICN,6.9,13.4,AVAILABLE
C00041,Laura Alvarez,CAPTAIN,A380,SFO,DOH,9.1,14.0,ON_DUTY
C00042,Katie Myers,CABIN_CREW,A321,HKG,FRA,9.9,13.3,RESTING
C00043,Wesley Jensen MD,CABIN_CREW,A320,SFO,LHR,6.1,15.7,ON_DUTY
C00044,Erica Johnson,CABIN_CREW,A320,FRA,SIN,0.8,14.7,AVAILABLE
C00045,Russell Bailey,CABIN_CREW,B787,NRT,SYD,1.7,15.8,AVAILABLE
C00046,Alyssa Vance,CABIN_CREW,A320,BOM,AMS,3.0,10.3,AVAILABLE
C00047,Brent Reed,CABIN_CREW,A320,SYD,DOH,9.2,15.4,RESTING
C00048,Gregory Stanley,CABIN_CREW,A380,BKK,SFO,8.5,8.5,AVAILABLE
C00049,Matthew Watkins,CABIN_CREW,A350,HKG,BOM,0.1,15.1,AVAILABLE
C00050,Ana Torres,CABIN_CREW,A380,MEL,NRT,2.0,12.2,RESTING
C00051,Alejandro Nguyen,CABIN_CREW,B787,DXB,DEL,7.7,10.0,AVAILABLE
C00052,Scott Bradley,CABIN_CREW,A350,MEL,SIN,5.4,10.2,RESTING
C00053,Deborah Dominguez,CABIN_CREW,B787,SIN,DEL,3.5,11.5,AVAILABLE
C00054,Victoria Gray,CABIN_CREW,B777,BOM,DOH,2.8,9.1,AVAILABLE
C00055,Kenneth Stokes,FIRST_OFFICER,A380,SIN,DOH,9.5,15.7,RESTING
C00056,Michael Rogers,CAPTAIN,B787,ORD,NRT,8.0,13.7,AVAILABLE
C00057,Pamela Morgan,CABIN_CREW,B787,ICN,SYD,1.3,15.7,ON_DUTY
C00058,Heidi Graham,CAPTAIN,A350,ICN,DXB,7.7,9.9,ON_DUTY
C00059,Ryan Cobb PhD,FIRST_OFFICER,A320,DXB,MEL,4.8,10.3,AVAILABLE
C00060,Donna Williams,CABIN_CREW,A320,DEL,ICN,1.9,10.2,AVAILABLE
C00061,Jennifer Perez PhD,FIRST_OFFICER,A321,FRA,MEL,2.0,13.7,ON_DUTY
C00062,Ryan Davis,CABIN_CREW,A320,SFO,SIN,1.9,14.8,ON_DUTY
C00063,Austin Solis,CAPTAIN,A380,DEL,SYD,0.4,15.9,RESTING
C00064,Daniel Flynn,CABIN_CREW,A320,DOH,JFK,8.6,11.0,AVAILABLE
C00065,Elizabeth Brock,CABIN_CREW,B777,FRA,IST,4.3,8.5,AVAILABLE
C00066,Joshua Gonzalez,CAPTAIN,A380,CDG,HKG,2.8,10.8,AVAILABLE
C00067,Mario Chavez,FIRST_OFFICER,A380,SIN,LHR,0.0,13.3,AVAILABLE
C00068,Catherine Smith,FIRST_OFFICER,A350,SFO,BOM,4.3,10.0,AVAILABLE
C00069,Shari Ray,FIRST_OFFICER,A380,BOM,DXB,6.8,14.2,AVAILABLE
C00070,Victor Harmon,CABIN_CREW,A350,LAX,ICN,6.0,9.9,AVAILABLE
C00071,Timothy Patel,CABIN_CREW,A380,BOM,DEL,6.3,12.8,AVAILABLE
C00072,Patricia Hamilton,CABIN_CREW,A321,DOH,DOH,7.0,15.4,AVAILABLE
C00073,Lori Boyd,CABIN_CREW,A350,AMS,NRT,9.9,9.6,ON_DUTY
C00074,Charles Hernandez,CAPTAIN,B777,MEL,ORD,7.1,15.1,ON_DUTY
C00075,Elizabeth Graham,CABIN_CREW,A320,HKG,HKG,4.5,13.7,RESTING
C00076,Ronald Brown,CAPTAIN,B787,ICN,ICN,7.9,9.3,AVAILABLE
C00077,Jason Colon,CABIN_CREW,A350,LHR,LAX,0.6,15.8,AVAILABLE
C00078,Dawn Burke,CABIN_CREW,B787,ORD,ICN,9.7,9.3,ON_DUTY
C00079,Brian Lee,CABIN_CREW,B787,SYD,SFO,2.7,9.5,AVAILABLE
C00080,Ronald Marshall,FIRST_OFFICER,A321,DXB,ICN,4.6,13.7,AVAILABLE
C00081,Jessica Lucas,FIRST_OFFICER,B777,AMS,CDG,5.5,9.4,AVAILABLE
C00082,Christopher Taylor,FIRST_OFFICER,A380,DEL,CDG,9.3,10.2,ON_DUTY
C00083,Robert Hopkins,CABIN_CREW,B777,DOH,ORD,1.2,13.2,ON_DUTY
C00084,Samuel Stuart,CABIN_CREW,A350,JFK,ORD,2.6,9.1,RESTING
C00085,Mr. Scott Miller,FIRST_OFFICER,A380,DXB,HKG,2.2,15.7,AVAILABLE
C00086,Sharon Lester,CABIN_CREW,A320,LAX,BOM,7.2,13.5,RESTING
C00087,Jack Sandoval,FIRST_OFFICER,A321,SFO,ORD,2.1,11.5,AVAILABLE
C00088,Tony Ramsey,FIRST_OFFICER,A321,SYD,DEL,4.5,13.8,AVAILABLE
C00089,Brian Navarro,CAPTAIN,B787,JFK,NRT,1.8,9.5,RESTING
C00090,Kelly Calderon,FIRST_OFFICER,B787,SIN,AMS,0.2,9.3,AVAILABLE
C00091,Tara King,CABIN_CREW,A320,DOH,JFK,1.4,11.4,AVAILABLE
C00092,Cynthia Martinez,CABIN_CREW,B787,BOM,ICN,1.4,14.0,AVAILABLE
C00093,Erin Silva,CAPTAIN,B787,DXB,BOM,8.3,14.1,ON_DUTY
C00094,Paul Young,CAPTAIN,B777,JFK,CDG,1.4,13.0,AVAILABLE
C00095,Charles Thompson,CABIN_CREW,A380,ORD,IST,8.5,8.7,AVAILABLE
C00096,Jessica King,CABIN_CREW,B787,SIN,AMS,3.3,9.2,AVAILABLE
C00097,Katherine Brooks,CABIN_CREW,A321,ORD,BOM,0.2,8.4,AVAILABLE
C00098,Emily Coleman,CAPTAIN,B787,DEL,DXB,9.1,8.2,AVAILABLE
C00099,Tracey Suarez,CAPTAIN,A321,AMS,FRA,9.2,13.5,ON_DUTY
C00100,Heidi Baldwin,CABIN_CREW,A380,NRT,SIN,9.9,9.8,RESTING
